l1510751	01/10/2015	08:42:53.00	42.65 N	0.64 E	15	0.6
l1510752	01/10/2015	11:51:54.50	42.64 N	0.63 E	14	0.4
l1510753	01/10/2015	18:30:34.70	42.64 N	0.63 E	12	0.2
l1510754	01/10/2015	21:38:20.40	42.62 N	0.64 E	15	-0.1
l1510786	02/10/2015	12:15:30.70	42.61 N	0.62 E	2	0.0
l1510787	02/10/2015	23:00:59.80	42.36 N	2.18 E	10	0.0
l1510788	03/10/2015	05:49:14.70	41.75 N	3.11 E	8	0.5
l1510790	03/10/2015	12:26:26.50	42.68 N	0.14 E	14	1.0
l1510791	03/10/2015	17:31:13.90	42.40 N	2.40 E	10	0.2
l1510766	03/10/2015	17:43:36.60	41.78 N	2.76 E	9	1.2
l1510796	03/10/2015	17:46:34.50	41.76 N	2.77 E	11	0.7
l1510768	03/10/2015	18:50:31.00	42.72 N	1.62 E	5	1.7
l1510797	04/10/2015	06:25:21.50	42.60 N	0.64 E	3	0.0
l1510771	04/10/2015	12:44:19.10	42.07 N	2.56 E	5	1.5
l1510801	04/10/2015	16:38:51.80	41.09 N	3.06 E	24	0.9
l1510776	04/10/2015	20:00:41.60	42.53 N	1.12 E	7	0.4
l1510816	05/10/2015	03:56:15.50	42.98 N	0.16 E	0	0.3
l1510821	06/10/2015	00:18:39.50	42.96 N	0.01 E	2	1.0
l1510822	06/10/2015	00:22:38.20	42.59 N	0.89 E	9	-0.4
l1510823	06/10/2015	00:28:26.10	42.65 N	0.64 E	14	0.5
l1510824	06/10/2015	00:36:17.80	42.65 N	0.64 E	5	0.4
l1510825	06/10/2015	01:32:23.50	42.63 N	0.64 E	4	0.5
l1510827	06/10/2015	04:14:25.50	42.66 N	0.57 E	11	0.5
l1510828	06/10/2015	08:12:12.80	42.97 N	0.20 E	7	0.7
l1510829	06/10/2015	17:08:57.60	41.83 N	2.78 E	10	0.2
l1510831	06/10/2015	18:35:29.00	43.02 N	0.12 E	5	0.7
l1510853	07/10/2015	01:19:54.40	43.00 N	0.18 E	10	0.8
l1510841	07/10/2015	20:52:40.70	41.81 N	2.51 E	4	1.1
l1510854	07/10/2015	21:16:07.90	42.93 N	0.19 E	0	0.8
l1510855	07/10/2015	22:07:23.30	42.63 N	0.64 E	6	0.6
l1510856	07/10/2015	22:10:47.50	42.64 N	0.65 E	4	0.5
l1510847	07/10/2015	22:54:37.30	42.62 N	0.63 E	4	0.7
l1510871	08/10/2015	01:41:42.60	42.65 N	0.63 E	4	0.6
l1510852	08/10/2015	02:15:47.60	42.63 N	0.64 E	4	1.1
l1510876	08/10/2015	03:27:00.60	42.60 N	0.55 E	4	0.2
l1510877	08/10/2015	05:08:45.70	42.65 N	0.62 E	4	-0.0
l1510878	08/10/2015	19:34:30.50	42.64 N	0.64 E	5	0.4
l1510881	08/10/2015	22:17:12.80	42.64 N	0.64 E	4	0.4
l1510928	09/10/2015	01:55:14.90	42.64 N	0.67 E	0	0.3
l1510929	09/10/2015	02:48:10.10	42.63 N	0.60 E	2	0.4
l1510930	09/10/2015	15:07:46.60	42.61 N	0.90 E	0	-0.2
l1510933	09/10/2015	19:47:41.50	42.69 N	0.64 E	4	0.2
l1510934	09/10/2015	22:00:09.90	42.48 N	0.91 E	5	-0.4
l1510935	10/10/2015	03:02:38.90	42.21 N	1.12 E	0	-0.3
l1510936	10/10/2015	10:01:38.10	42.54 N	0.64 E	2	0.2
l1510901	10/10/2015	11:55:31.30	43.05 N	0.02 E	0	0.9
l1510938	10/10/2015	16:56:37.80	42.09 N	1.45 E	7	0.2
l1510939	10/10/2015	17:10:46.50	42.07 N	1.43 E	7	0.2
l1510940	10/10/2015	17:15:09.10	42.08 N	1.45 E	6	0.0
l1510941	10/10/2015	18:11:13.70	42.04 N	1.50 E	3	0.1
l1510942	10/10/2015	18:12:08.20	42.04 N	1.45 E	3	0.3
l1510943	10/10/2015	19:19:47.20	42.08 N	1.45 E	3	0.4
l1510912	11/10/2015	00:08:50.10	42.63 N	0.64 E	6	0.6
l1510946	11/10/2015	00:36:11.60	42.62 N	0.62 E	2	0.2
l1510947	11/10/2015	00:54:39.40	42.62 N	0.60 E	5	0.0
l1510950	11/10/2015	01:45:21.70	42.63 N	0.65 E	3	0.5
l1510951	11/10/2015	02:08:47.00	42.08 N	1.45 E	9	0.0
